City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
574,Fairview,US,75.42,broken clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
575,Ketchikan,US,70.27,few clouds,55.3422,-131.6461,Snows Cove Lodge
578,Tiznit,MA,70.83,clear sky,29.5833,-9.5,
579,Sao Sebastiao,BR,62.87,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
581,Yabrud,SY,67.66,clear sky,33.9674,36.6574,المنزل
585,Faya,SA,66.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
587,Bonavista,CA,66.2,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
589,Griffith,US,76.89,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
590,Quelimane,MZ,64.35,clear sky,-17.8786,36.8883,Hotel Flamingo
591,Tadine,NC,68.88,broken clouds,-21.55,167.8833,
592,Ordubad,AZ,69.89,overcast clouds,38.9059,46.0234,Ordubad Oteli
594,Buchanan,LR,76.46,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
595,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
597,Camana,PE,63.1,scattered clouds,-16.6228,-72.7111,Hostal Morales
599,Smidovich,RU,65.35,overcast clouds,48.6,133.8167,Gostinnitsa
600,Longhua,CN,79.77,broken clouds,23.6137,114.1919,Huadu Hotel
603,Ayagoz,KZ,62.22,clear sky,47.9714,80.4392,Gostinitsa Nur
604,Poronaysk,RU,61.5,few clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
605,Albanel,CA,71.58,overcast clouds,48.8832,-72.4487,Camping municipal d'Albanel
606,Lata,PT,67.05,overcast clouds,40.1629,-8.3327,Casa Maquia
608,Kamiiso,JP,73.78,broken clouds,41.8167,140.65,ビジネス民宿あべ
612,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
614,Kashi,CN,74.41,broken clouds,39.4547,75.9797,帕米尔青年旅舍
616,Kathmandu,NP,67.91,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
618,Matagami,CA,62.71,scattered clouds,49.7502,-77.6328,Hôtel Matagami
621,Maragogi,BR,73.94,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
622,Simao,CN,62.89,scattered clouds,22.7886,100.9748,Changyu Hotel
624,Staraya Poltavka,RU,75.92,clear sky,50.4772,46.4814,"Hotel ""Oktyabrskaya"""
625,Amalfi,CO,66.65,broken clouds,6.9102,-75.0776,Hotel Real Amalfi
629,Salmas,IR,65.39,broken clouds,38.1973,44.7653,Ata Hotel
635,Kaeo,NZ,62.33,scattered clouds,-35.1,173.7833,Bushido Lodge
636,Pozega,HR,73.02,broken clouds,45.3403,17.6853,NunaNina apartmani
638,San Juan De La Vega,MX,77.43,light rain,20.6333,-100.7667,Rivera del Río
640,Asau,RO,73.76,light rain,46.4333,26.4,Casa Mika Ciobanus
641,Ouesso,CG,72.59,overcast clouds,1.6136,16.0517,ABENIE Hotel
645,Jiamusi,CN,76.55,broken clouds,46.8333,130.35,Riversky Hotel
646,Magan,ES,77.29,broken clouds,39.9683,-3.931,Hotel Pattaya
647,Naujamiestis,LT,63.97,light rain,55.6869,24.1523,
649,Mayumba,GA,73.81,overcast clouds,-3.432,10.6554,LIKWALE LODGE
650,Bauru,BR,67.14,clear sky,-22.3147,-49.0606,Vitória Régia Hotel
651,Trenggalek,ID,73.9,broken clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
653,Xianyang,CN,79.84,overcast clouds,34.3378,108.7026,铁路大厦
654,Pangoa,PE,70.07,scattered clouds,-12.1167,-73.0,
